run_id,algorithm,stochasticity,discount_factor,learning_rate,epsilon,episode_length_mc,grid_name,reward_function,cumulative_reward,step,episode,conv_metricV,conv_metricQ
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.2,0.9636672184136105,500,grid_configs/A1_grid.npy,Default,-20,28165,73,23.72258,56.697678
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.11867816581938533,0.9631853848044037,500,grid_configs/A1_grid.npy,Default,-1072,28665,74,42.460785,52.769318
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.14285714285714285,0.9627037921120016,500,grid_configs/A1_grid.npy,Default,-1032,29165,75,42.953423,49.9346
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.16012815380508713,0.9622224402159457,500,grid_configs/A1_grid.npy,Default,-333,29341,76,34.437813,49.738525
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.10976425998969035,0.9617413289958378,500,grid_configs/A1_grid.npy,Default,-1084,29841,77,66.05383,69.76327
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.10660035817780521,0.9612604583313399,500,grid_configs/A1_grid.npy,Default,-1016,30341,78,35.741302,41.569397
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.13018891098082389,0.9607798281021742,500,grid_configs/A1_grid.npy,Default,-983,30803,79,38.25379,70.06916
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.1147078669352809,0.9602994381881231,500,grid_configs/A1_grid.npy,Default,-1028,31303,80,57.849,73.54738
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.11322770341445959,0.9598192884690291,500,grid_configs/A1_grid.npy,Default,-1324,31803,81,31.042862,34.619812
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.105999788000636,0.9593393788247946,500,grid_configs/A1_grid.npy,Default,-260,31914,82,35.927284,50.57573
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.13736056394868904,0.9588597091353822,500,grid_configs/A1_grid.npy,Default,-1216,32414,83,83.716095,91.12013
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.10153461651336192,0.9583802792808146,500,grid_configs/A1_grid.npy,Default,-1148,32914,84,49.419724,54.139114
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.16012815380508713,0.9579010891411742,500,grid_configs/A1_grid.npy,Default,0,32921,85,9.484602,10.815605
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.10846522890932808,0.9574221385966036,500,grid_configs/A1_grid.npy,Default,-948,33421,86,55.588867,55.588867
4e4a830c-62ad-45bc-8d4d-b7bd4fb821d7,Monte Carlo,-1,0.99,0.2294157338705618,0.9569434275273054,500,grid_configs/A1_grid.npy,Default,-116,33480,87,25.94389,60.76754
